location_slug,location_name,threat_types,interval_count,total_duration_hours,geocode_status,query,latitude,longitude,osm_type,osm_id,place_class,place_type,importance,display_name,boundingbox,source
Рахівський_район,Рахівський район,air_raid,78,64.814,ok,"Рахівський район, Україна",48.1474060,24.2366795,relation,11841038,,administrative,0.4737228590799341,"Рахівський район, Закарпатська область, Україна",47.8968940;48.3984108;23.8921513;24.6274681,OpenStreetMap Nominatim
Мукачівський_район,Мукачівський район,air_raid,77,64.325,ok,"Мукачівський район, Україна",48.6028594,22.9252171,relation,11852023,,administrative,0.5010447982275292,"Мукачівський район, Закарпатська область, Україна",48.2809689;48.9247143;22.3618005;23.3173124,OpenStreetMap Nominatim
Берегівський_район,Берегівський район,air_raid,77,64.318,ok,"Берегівський район, Україна",48.1798175,22.8738730,relation,11848195,,administrative,0.48280394745620453,"Берегівський район, Закарпатська область, Україна",47.9540577;48.4060174;22.3126420;23.2715392,OpenStreetMap Nominatim
м_Южноукраїнськ_та_Южноукраїнська_територіальна_громада,м. Южноукраїнськ та Южноукраїнська територіальна громада,air_raid,33,43.101,ok,"Южноукраїнськ, Україна",47.8242690,31.1786814,relation,3585163,,administrative,0.4443177169163054,"Південноукраїнськ, Південноукраїнська міська громада, Вознесенський район, Миколаївська область, 55000, Україна",47.7867087;47.8918898;31.1609884;31.3122003,OpenStreetMap Nominatim
м_Васильків_та_Васильківська_територіальна_громада,м. Васильків та Васильківська територіальна громада,air_raid,23,33.638,ok,"Васильків, Україна",50.1781370,30.3175045,relation,4740389,,administrative,0.5132339116250914,"Васильків, Васильківська міська громада, Обухівський район, Київська область, 08600-08606, Україна",50.1388237;50.2359861;30.2816746;30.3946950,OpenStreetMap Nominatim
м_Біла_Церква_та_Білоцерківська_територіальна_громада,м. Біла Церква та Білоцерківська територіальна громада,air_raid,20,29.444,ok,"Біла Церква, Україна",49.7969703,30.1158069,relation,2069683,,administrative,0.5783074032166672,"Біла Церква, Білоцерківська міська громада, Білоцерківський район, Київська область, Україна",49.7568671;49.8543319;30.0209390;30.2224658,OpenStreetMap Nominatim
Добропільська_територіальна_громада,Добропільська територіальна громада,air_raid,14,28.039,ok,"Добропільська територіальна громада, Україна",48.4519962,37.1445485,relation,13285834,,administrative,0.43014693072468363,"Добропільська міська громада, Покровський район, Донецька область, Україна",48.3390830;48.5649777;36.9411246;37.2247150,OpenStreetMap Nominatim
Біленьківська_територіальна_громада,Біленьківська територіальна громада,artillery_shelling,31,23.691,ok,"Біленьківська, Україна",47.6425681,35.0071255,relation,12165759,,administrative,0.35782926338984733,"Біленьківська сільська громада, Запорізький район, Запорізька область, Україна",47.5047073;47.7827119;34.9057129;35.1643824,OpenStreetMap Nominatim
Великоновосілківська_територіальна_громада,Великоновосілківська територіальна громада,air_raid,26,22.401,ok,"Великоновосілківська територіальна громада, Україна",47.9150613,36.9504470,relation,13284948,,administrative,0.42846998332261194,"Великоновосілківська селищна громада, Волноваський район, Донецька область, Україна",47.7126273;48.1001861;36.5876500;37.1770585,OpenStreetMap Nominatim
Уманська_територіальна_громада,Уманська територіальна громада,air_raid,24,22.331,ok,"Уманська територіальна громада, Україна",47.1079780,37.5277719,way,275492769,,residential,0.053398552681773064,"Ладигіна вулиця, Паркове, Маріуполь, Центральний район, Маріупольська міська громада, Маріупольський район, Донецька область, 87537, Україна",47.1068588;47.1090972;37.5275973;37.5279465,OpenStreetMap Nominatim
м_Першотравенськ_та_Першотравенська_територіальна_громада,м. Першотравенськ та Першотравенська територіальна громада,air_raid,17,21.160,ok,"Першотравенськ, Україна",48.3505864,36.4022960,relation,3607918,,administrative,0.45502410982979663,"Шахтарське, Шахтарська міська громада, Синельниківський район, Дніпропетровська область, 52800, Україна",48.3325540;48.3603481;36.3827066;36.4256323,OpenStreetMap Nominatim
ІваноФранківський_район,Івано-Франківський район,air_raid,17,20.855,ok,"Івано-Франківський район, Україна",49.0336758,24.7516914,relation,11805641,,administrative,0.5158452600767384,"Івано-Франківський район, Івано-Франківська область, Україна",48.5196602;49.5477701;24.0955871;25.3257810,OpenStreetMap Nominatim
м_Полтава_та_Полтавська_територіальна_громада,м. Полтава та Полтавська територіальна громада,air_raid,19,20.036,ok,"м. Полтава та Полтавська територіальна громада, Україна",50.2288351,32.1111080,way,1053594652,,trunk,0.053383334859235486,"М-03, Яготинська міська громада, Бориспільський район, Київська область, 19810, Україна",50.2286037;50.2290389;32.1035034;32.1187119,OpenStreetMap Nominatim
Косівський_район,Косівський район,air_raid,16,19.760,ok,"Косівський район, Україна",48.3088262,24.9864628,relation,11806248,,administrative,0.47386456241861913,"Косівський район, Івано-Франківська область, Україна",48.1599071;48.4577394;24.7064468;25.3077123,OpenStreetMap Nominatim
Коломийський_район,Коломийський район,air_raid,12,19.698,ok,"Коломийський район, Україна",48.6150911,25.1861214,relation,11806207,,administrative,0.5084600776727741,"Коломийський район, Івано-Франківська область, Україна",48.3590775;48.8721054;24.7110657;25.6530995,OpenStreetMap Nominatim
